Genome,vOTU ID,ClusterStatus,VCStatus,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,clstr,clstr_size,length,clstr_rep,clstr_iden,clstr_cov,Phylum,Class,Order,Family,Genus,ICTV_Phylum,ICTV_Class,ICTV_Order,ICTV_Family,ICTV_Genus,SampleID,SampleName,Cyanobacterial Order,Cyanobacterial Family,Cyanobacterial Genus,Cyanobacterial Speices,Strain,BioProject,SRA Accession No.,JGI IMGD No.,Reported Habitat,Habitat,Substrate,Location
TC9_NODE_9_length_1201113_cov_15.041872_fragment_1,vOTU712,Unclustered,Unclustered,23535,No,NA,15,1,1,Low-quality,Genome-fragment,32.94,HMM-based (lower-bound),0,1,NA,301,1,23535,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC21_NODE_450_length_17582_cov_5.828874,vOTU257,Unclustered,Unclustered,17582,No,NA,23,7,0,Low-quality,Genome-fragment,23.96,HMM-based (lower-bound),0,1,NA,384,1,17582,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC21_NODE_1090_length_7212_cov_1.272971,vOTU228,Unclustered,Unclustered,7212,No,NA,9,5,0,Low-quality,Genome-fragment,15.17,HMM-based (lower-bound),0,1,NA,645,1,7212,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC44_NODE_1302_length_7207_cov_1.116384,vOTU561,Unclustered,Unclustered,7207,No,NA,8,4,0,Low-quality,Genome-fragment,15.18,HMM-based (lower-bound),0,1,NA,647,1,7207,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC44,Tildeniella nuda ZEHNDER 1965/U140,Pseudanabaenales,Oculatellaceae,Tildeniella,Tildeniella nuda,ZEHNDER 1965/U140,PRJNA621657,SRR11676687,3300035002,Temperate wet wall,Temperate,rock wall,"Zurich, Switzerland"
TC25_k99_7844_fragment_4,vOTU396,Unclustered,Unclustered,18752,Yes,8586,20,3,5,Low-quality,Genome-fragment,11.56,HMM-based (lower-bound),54.21,1,NA,613,3,8586,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC32_NODE_441_length_9483_cov_7.642262,vOTU549,Unclustered,Unclustered,9483,No,NA,13,6,0,Low-quality,Genome-fragment,12.19,HMM-based (lower-bound),0,1,NA,589,3,9483,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC29_NODE_42_length_439594_cov_6.338911_fragment_1,vOTU384,Clustered,1469_0,35871,Yes,27517,34,7,3,Medium-quality,Genome-fragment,53.49,HMM-based (lower-bound),23.29,1,NA,264,2,27517,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC29_NODE_42_length_439594_cov_6.338911_fragment_5,vOTU385,Unclustered,Unclustered,38351,No,NA,58,0,16,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,168,1,38351,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC1_NODE_341_length_40417_cov_176.687640,vOTU14,Unclustered,Unclustered,40417,No,NA,52,23,1,Medium-quality,Genome-fragment,84.95,HMM-based (lower-bound),0,1,NA,139,1,40417,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC1,Aetokthonos hydrillicola B3-Florida,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,B3-Florida,PRJNA617093,SRR12347192,3300036376,Aquatic epiphyte,Aquatic,plant,"South Carolina, USA"
TC2_NODE_112_length_196170_cov_3.920839_fragment_2,vOTU180,Unclustered,Unclustered,51878,Yes,36217,58,18,5,Medium-quality,Genome-fragment,58.74,HMM-based (lower-bound),30.19,1,low-confidence Provirus,195,1,36217,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC2_NODE_33_length_512050_cov_27.166554_fragment_1,vOTU198,Clustered,1469_0,24831,No,NA,27,7,1,Low-quality,Genome-fragment,39.94,HMM-based (lower-bound),0,1,NA,282,1,24831,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC2_NODE_33_length_512050_cov_27.166554_fragment_3,vOTU199,Unclustered,Unclustered,32048,No,NA,26,1,10,Low-quality,Genome-fragment,17.38,HMM-based (lower-bound),0,1,NA,225,1,32048,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC20_NODE_8_length_1091970_cov_6.985938_fragment_4,vOTU223,Unclustered,Unclustered,45654,No,NA,74,15,3,Medium-quality,Genome-fragment,68.56,HMM-based (lower-bound),0,1,NA,83,1,45654,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC20,Kaiparowitsia implicata GSE-PSE-MK54-09C,Pseudanabaenales,Oculatellaceae,Kaiparowitsia,Kaiparowitsia implicata,GSE-PSE-MK54-09C,PRJNA650883,SRR13242888,3300038555,Desert wet wall,Desert,rock wall,"Utah, USA"
TC43_NODE_127_length_104960_cov_2.160732_fragment_1,vOTU540,Clustered,191_0,63350,Yes,44247,82,27,10,Medium-quality,Genome-fragment,62.15,HMM-based (lower-bound),30.15,1,NA,99,1,44247,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
TC19_k99_19647,vOTU150,Unclustered,Unclustered,5810,No,NA,6,3,0,Low-quality,Genome-fragment,11.49,HMM-based (lower-bound),0,1,NA,684,1,5810,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC19_k99_5787,vOTU177,Unclustered,Unclustered,8631,No,NA,14,5,0,Low-quality,Genome-fragment,12.34,HMM-based (lower-bound),0,1,NA,611,1,8631,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC36_NODE_461_length_15802_cov_2.432217,vOTU465,Unclustered,Unclustered,15802,No,NA,16,9,0,Low-quality,Genome-fragment,27.09,HMM-based (lower-bound),0,1,NA,425,1,15802,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC36,Pleurocapsa minor GSE-CHR-MK-17-07R,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,GSE-CHR-MK-17-07R,PRJNA677054,SRR13207074,3300039304,Desert wet wall,Desert,rock wall,"Utah, USA"
TC44_NODE_117_length_135596_cov_13.031535_fragment_1,vOTU557,Unclustered,Unclustered,38663,No,NA,56,19,1,Medium-quality,Genome-fragment,69.87,HMM-based (lower-bound),0,1.01,NA,163,1,38663,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC44,Tildeniella nuda ZEHNDER 1965/U140,Pseudanabaenales,Oculatellaceae,Tildeniella,Tildeniella nuda,ZEHNDER 1965/U140,PRJNA621657,SRR11676687,3300035002,Temperate wet wall,Temperate,rock wall,"Zurich, Switzerland"
TC16_NODE_244_length_7509_cov_65.745462,vOTU125,Unclustered,Unclustered,7509,No,NA,8,1,1,Low-quality,Genome-fragment,9.42,HMM-based (lower-bound),0,1,NA,637,1,7509,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC16,Goleter apudmare HA4340-LM2,Nostocales,Nostocaceae,Goleter,Goleter apudmare,HA4340-LM2,PRJNA621659,SRR11676930,3300035004,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC18_NODE_91_length_37957_cov_1.264684,vOTU677,Clustered,946_0,37957,No,NA,63,25,1,Low-quality,Genome-fragment,48.2,HMM-based (lower-bound),0,1,NA,60,4,37957,0,99.99%,74%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC18,Hormoscilla sp. CMT-3BRIN-NPC48,Oscillatoriales,Gomontiellaceae,Hormoscilla,Hormoscilla sp.,CMT-3BRIN-NPC48,PRJNA650881,SRR12951525,3300038553,Desert soil,Desert,soil,"California, USA"
TC22_k99_941,vOTU55,Unclustered,Unclustered,18865,No,NA,35,6,0,Low-quality,Genome-fragment,39.69,HMM-based (lower-bound),0,1,NA,360,2,18865,0,100.00%,99%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC32_NODE_86_length_282059_cov_25.867876_fragment_1,vOTU440,Clustered,613_0,15984,Yes,8543,23,2,3,Medium-quality,Genome-fragment,83.23,HMM-based (lower-bound),46.55,1,NA,614,2,8543,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC32_NODE_86_length_282059_cov_25.867876_fragment_2,vOTU441,Unclustered,Unclustered,17690,No,NA,22,2,4,Low-quality,Genome-fragment,24.86,HMM-based (lower-bound),0,1,NA,380,2,17690,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC32,Oscillatoria tanganyikae FI6-MK23,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria tanganyikae,FI6-MK23,PRJNA621665,SRR11678132,3300035010,Desert soil,Desert,soil,"California, USA"
TC33_NODE_27_length_378717_cov_2.184374_fragment_1,vOTU444,Clustered,1213_0,34161,No,NA,43,9,4,Low-quality,Genome-fragment,48.72,HMM-based (lower-bound),0,1,NA,210,1,34161,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC33,Pegethrix bostrychoides GSE-TBD4-15B,Pseudanabaenales,Oculatellaceae,Pegethrix,Pegethrix bostrychoides,GSE-TBD4-15B,PRJNA617102,SRR12349533,3300036394,Desert wet wall,Desert,rock wall,"Utah, USA"
TC19_k99_4487_fragment_1,vOTU175,Clustered,871_0,59093,No,NA,86,27,2,Medium-quality,Genome-fragment,86.47,HMM-based (lower-bound),0,1,NA,31,1,59093,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC19_k99_28466_fragment_9,vOTU157,Unclustered,Unclustered,21504,No,NA,26,9,2,Low-quality,Genome-fragment,28.12,HMM-based (lower-bound),0,1,NA,322,1,21504,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC19_k99_28466_fragment_2,vOTU156,Unclustered,Unclustered,39654,No,NA,52,19,0,Medium-quality,Genome-fragment,54.85,HMM-based (lower-bound),0,1,NA,148,1,39654,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC9_NODE_22_length_662371_cov_71.591452_fragment_7,vOTU683,Clustered,189_0,40886,No,NA,55,19,0,Medium-quality,Genome-fragment,74.86,HMM-based (lower-bound),0,1,NA,133,1,40886,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC21_NODE_91_length_137763_cov_3.812164_fragment_2,vOTU661,Clustered,27_0,52178,No,NA,52,17,2,Medium-quality,Genome-fragment,74.87,HMM-based (lower-bound),0,1,NA,52,2,52178,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC36_NODE_337_length_20396_cov_2.484385,vOTU463,Unclustered,Unclustered,20396,No,NA,32,19,0,Low-quality,Genome-fragment,45.51,HMM-based (lower-bound),0,1,NA,346,1,20396,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC36,Pleurocapsa minor GSE-CHR-MK-17-07R,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,GSE-CHR-MK-17-07R,PRJNA677054,SRR13207074,3300039304,Desert wet wall,Desert,rock wall,"Utah, USA"
TC40_NODE_13_length_266733_cov_123.783174_fragment_1,vOTU515,Clustered,1434_0,11778,No,NA,10,5,0,Low-quality,Genome-fragment,23.43,HMM-based (lower-bound),0,1,NA,531,1,11778,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC40,Scytonematopsis contorta HA4267-MV1,Nostocales,Scytonemataceae,Scytonematopsis,Scytonematopsis contorta,HA4267-MV1,PRJNA653495,SRR12688486,3300037859,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC25_k99_9628,vOTU363,Unclustered,Unclustered,21589,No,NA,24,14,0,Low-quality,Genome-fragment,37.36,HMM-based (lower-bound),0,1,NA,45,2,21589,0,100.00%,40%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC29_NODE_977_length_9483_cov_18.388521,vOTU549,Unclustered,Unclustered,9483,No,NA,13,6,0,Low-quality,Genome-fragment,12.19,HMM-based (lower-bound),0,1,NA,589,3,9483,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC47_NODE_170_length_30331_cov_5.068269,vOTU116,Clustered,973_0,30331,No,NA,50,13,0,Low-quality,Genome-fragment,46.97,HMM-based (lower-bound),0,1,NA,243,2,30331,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC47,Tolypothrix brevis GSE-NOS-MK-07-07A,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix brevis,GSE-NOS-MK-07-07A,PRJNA621662,SRR11678125,3300035007,Desert wet wall,Desert,rock wall,"Utah, USA"
TC18_NODE_111_length_23602_cov_12.434164,vOTU139,Unclustered,Unclustered,23602,No,NA,35,9,1,Low-quality,Genome-fragment,37.07,HMM-based (lower-bound),0,1,NA,300,1,23602,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC18,Hormoscilla sp. CMT-3BRIN-NPC48,Oscillatoriales,Gomontiellaceae,Hormoscilla,Hormoscilla sp.,CMT-3BRIN-NPC48,PRJNA650881,SRR12951525,3300038553,Desert soil,Desert,soil,"California, USA"
TC23_NODE_43_length_306671_cov_19.683448_fragment_1,vOTU302,Unclustered,Unclustered,15224,No,NA,15,10,0,Low-quality,Genome-fragment,25.2,HMM-based (lower-bound),0,1,NA,444,1,15224,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC23,Lyngbya sp. HA4199-MV5,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya sp.,HA4199-MV5,PRJNA621654,SRR11676618,3300034630,Tropical soil,Tropics,soil,"Hawaii, USA"
TC43_NODE_16_length_550297_cov_19.799362_fragment_2,vOTU542,Unclustered,Unclustered,41419,No,NA,58,18,1,Medium-quality,Genome-fragment,60.27,HMM-based (lower-bound),0,1,NA,125,1,41419,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
TC20_NODE_35_length_234509_cov_32.817507_fragment_3,vOTU221,Unclustered,Unclustered,42408,No,NA,59,13,0,Medium-quality,Genome-fragment,57.76,HMM-based (lower-bound),0,1,NA,113,1,42408,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC20,Kaiparowitsia implicata GSE-PSE-MK54-09C,Pseudanabaenales,Oculatellaceae,Kaiparowitsia,Kaiparowitsia implicata,GSE-PSE-MK54-09C,PRJNA650883,SRR13242888,3300038555,Desert wet wall,Desert,rock wall,"Utah, USA"
TC44_NODE_3_length_2613225_cov_18.249420_fragment_14,vOTU569,Clustered,1027_0,52429,Yes,46273,76,19,4,Medium-quality,Genome-fragment,56.63,HMM-based (lower-bound),11.74,1,NA,79,1,46273,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC44,Tildeniella nuda ZEHNDER 1965/U140,Pseudanabaenales,Oculatellaceae,Tildeniella,Tildeniella nuda,ZEHNDER 1965/U140,PRJNA621657,SRR11676687,3300035002,Temperate wet wall,Temperate,rock wall,"Zurich, Switzerland"
TC44_NODE_3_length_2613225_cov_18.249420_fragment_7,vOTU570,Unclustered,Unclustered,15889,No,NA,12,0,4,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,421,1,15889,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC44,Tildeniella nuda ZEHNDER 1965/U140,Pseudanabaenales,Oculatellaceae,Tildeniella,Tildeniella nuda,ZEHNDER 1965/U140,PRJNA621657,SRR11676687,3300035002,Temperate wet wall,Temperate,rock wall,"Zurich, Switzerland"
TC24_NODE_10_length_881981_cov_5.334318_fragment_3,vOTU305,Clustered,1213_0,51570,No,NA,67,6,5,Medium-quality,Genome-fragment,71.52,HMM-based (lower-bound),0,1.01,NA,56,1,51570,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC24,Microcoleus vaginatus WJT46-NPBG5,Oscillatoriales,Microcoleus,Microcoleus,Microcoleus vaginatus,WJT46-NPBG5,PRJNA677056,SRR13207170,3300039305,Desert soil,Desert,soil,"California, USA"
TC23_NODE_20_length_537434_cov_20.219629_fragment_2,vOTU298,Clustered,1477_0,12005,No,NA,17,0,2,Not-determined,Genome-fragment,NA,NA,0,1.02,no viral genes detected,524,1,12005,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC23,Lyngbya sp. HA4199-MV5,Oscillatoriales,Oscillatoriaceae,Lyngbya,Lyngbya sp.,HA4199-MV5,PRJNA621654,SRR11676618,3300034630,Tropical soil,Tropics,soil,"Hawaii, USA"
TC16_NODE_49_length_134977_cov_80.203278_fragment_1,vOTU603,Clustered,319_0,24566,No,NA,38,17,0,Medium-quality,Genome-fragment,51.88,HMM-based (lower-bound),0,1,NA,284,2,24566,0,100.00%,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC16,Goleter apudmare HA4340-LM2,Nostocales,Nostocaceae,Goleter,Goleter apudmare,HA4340-LM2,PRJNA621659,SRR11676930,3300035004,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC19_k99_20484,vOTU152,Unclustered,Unclustered,14212,Yes,10132,20,6,3,Low-quality,Genome-fragment,7.81,HMM-based (lower-bound),28.71,1,NA,571,1,10132,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC6_NODE_154_length_25958_cov_34.872672,vOTU640,Unclustered,Unclustered,25958,No,NA,28,0,2,Not-determined,Genome-fragment,NA,NA,0,1.06,no viral genes detected,272,1,25958,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC6,Brasilonema angustatum HA4187-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,CMT-3BRIN-NPC111,PRJNA617095,SRR12347719,3300036389,Tropical soil,Tropics,soil,"Hawaii, USA"
TC22_k99_18216_fragment_1,vOTU278,Clustered,1449_0,9698,Yes,4646,10,5,3,Low-quality,Genome-fragment,5.33,HMM-based (lower-bound),52.09,1,NA,716,1,4646,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC35_NODE_43_length_82804_cov_135.385911_fragment_1,vOTU450,Unclustered,Unclustered,22792,No,NA,24,5,1,Low-quality,Genome-fragment,22.15,HMM-based (lower-bound),0,1,NA,308,1,22792,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC35,Plectolyngbya sp. WJT66-NPBG17,Pseudanabaenales,Leptolyngbyaceae,Plectolyngbya,Plectolyngbya sp.,WJT66-NPBG17,PRJNA617103,SRR12349534,3300036395,Desert soil,Desert,soil,"California, USA"
TC16_NODE_14_length_415217_cov_19.321309_fragment_3,vOTU115,Clustered,1010_0,40042,No,NA,53,11,0,Medium-quality,Genome-fragment,69.33,HMM-based (lower-bound),0,1,NA,144,3,40042,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC16,Goleter apudmare HA4340-LM2,Nostocales,Nostocaceae,Goleter,Goleter apudmare,HA4340-LM2,PRJNA621659,SRR11676930,3300035004,Cave rock wall,Cave,rock wall,"Hawaii, USA"
