contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
TC6_NODE_24_length_334762_cov_14.643899_fragment_1	38433	Yes	32480	45	11	6	Medium-quality	Genome-fragment	71.44	HMM-based (lower-bound)	15.49	1.0	
TC6_NODE_24_length_334762_cov_14.643899_fragment_4	5611	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC7_NODE_46_length_272986_cov_11.714376_fragment_1	86163	Yes	83502	90	25	6	High-quality	High-quality	91.69	HMM-based (lower-bound)	3.09	1.0	
TC24_NODE_271_length_41493_cov_551.294783	41493	No	NA	48	5	1	Low-quality	Genome-fragment	42.25	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
TC11_NODE_8_length_582147_cov_12.459319_fragment_8	45996	Yes	37241	70	14	6	Medium-quality	Genome-fragment	53.79	HMM-based (lower-bound)	19.03	1.0	
TC9_NODE_2829_length_5184_cov_1.072573	5184	No	NA	10	5	0	Low-quality	Genome-fragment	10.9	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_166_length_108332_cov_2.956693_fragment_1	52592	Yes	42653	79	5	5	Low-quality	Genome-fragment	49.46	HMM-based (lower-bound)	18.9	1.0	
TC10_NODE_12_length_490842_cov_6.506127_fragment_2	10963	Yes	7279	14	3	2	Low-quality	Genome-fragment	9.06	HMM-based (lower-bound)	33.6	1.0	
TC10_NODE_12_length_490842_cov_6.506127_fragment_6	50558	Yes	34282	48	12	5	Medium-quality	Genome-fragment	51.39	HMM-based (lower-bound)	32.19	1.0	
TC18_NODE_201_length_9948_cov_1.419815	9948	No	NA	16	9	0	Low-quality	Genome-fragment	6.62	HMM-based (lower-bound)	0.0	1.0	
TC13_NODE_397_length_8254_cov_1.301587	8254	No	NA	17	3	0	Low-quality	Genome-fragment	15.71	HMM-based (lower-bound)	0.0	1.0	
TC46_NODE_2_length_2911974_cov_72.510502_fragment_34	19205	No	NA	17	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC46_NODE_2_length_2911974_cov_72.510502_fragment_20	12980	No	NA	12	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC46_NODE_2_length_2911974_cov_72.510502_fragment_22	8389	No	NA	8	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC46_NODE_2_length_2911974_cov_72.510502_fragment_39	18865	No	NA	19	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC46_NODE_2_length_2911974_cov_72.510502_fragment_30	32873	Yes	27617	35	11	5	Low-quality	Genome-fragment	37.94	HMM-based (lower-bound)	15.99	1.0	
TC48_NODE_226_length_19246_cov_207.275119	19246	No	NA	17	2	0	Low-quality	Genome-fragment	9.33	HMM-based (lower-bound)	0.0	1.13	low-confidence DTR
TC31_NODE_1725_length_5681_cov_0.863162	5681	No	NA	6	2	0	Low-quality	Genome-fragment	8.35	HMM-based (lower-bound)	0.0	1.0	
TC23_NODE_53_length_241168_cov_11.655822_fragment_2	62387	Yes	17413	72	9	27	Low-quality	Genome-fragment	24.57	HMM-based (lower-bound)	72.09	1.0	low-confidence Provirus
TC21_NODE_888_length_8436_cov_4.591648	8436	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC9_NODE_2012_length_7405_cov_69.775625	7405	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.06	no viral genes detected
TC12_NODE_5_length_1359165_cov_50.766149_fragment_17	38241	No	NA	42	12	4	Medium-quality	Genome-fragment	66.83	HMM-based (lower-bound)	0.0	1.01	
TC12_NODE_5_length_1359165_cov_50.766149_fragment_20	40502	No	NA	55	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.05	no viral genes detected
TC12_NODE_5_length_1359165_cov_50.766149_fragment_4	9286	No	NA	11	3	0	Low-quality	Genome-fragment	11.07	HMM-based (lower-bound)	0.0	1.0	
TC12_NODE_5_length_1359165_cov_50.766149_fragment_6	24341	No	NA	29	4	2	Low-quality	Genome-fragment	37.38	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_37799_fragment_1	11880	No	NA	14	8	1	Low-quality	Genome-fragment	18.4	HMM-based (lower-bound)	0.0	1.0	
TC5_NODE_256_length_14384_cov_1.094901	14384	No	NA	22	1	2	Low-quality	Genome-fragment	21.52	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_71_length_320446_cov_3.268208_fragment_1	43319	No	NA	54	23	0	Medium-quality	Genome-fragment	84.06	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_24_length_624035_cov_3.299982_fragment_8	45274	No	NA	56	21	0	Medium-quality	Genome-fragment	88.27	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_10_length_470221_cov_32.016814_fragment_2	42160	Yes	40650	56	23	3	Medium-quality	Genome-fragment	84.85	HMM-based (lower-bound)	3.58	1.0	
TC14_NODE_146_length_68352_cov_1.942455_fragment_2	17409	No	NA	24	11	2	Low-quality	Genome-fragment	32.01	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_20104_fragment_11	59193	No	NA	96	3	14	Medium-quality	Genome-fragment	81.64	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_130_length_130617_cov_3.151935_fragment_1	104988	Yes	67942	122	19	12	Medium-quality	Genome-fragment	79.77	HMM-based (lower-bound)	35.29	1.0	low-confidence Provirus
TC8_NODE_101_length_93400_cov_37.579921_fragment_1	23228	No	NA	33	4	0	Low-quality	Genome-fragment	33.65	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_1039_length_7492_cov_1.565513	7492	No	NA	9	4	0	Low-quality	Genome-fragment	12.24	HMM-based (lower-bound)	0.0	1.0	
TC4_NODE_11_length_431609_cov_20.122188_fragment_1	13733	No	NA	11	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC4_NODE_11_length_431609_cov_20.122188_fragment_5	33855	Yes	13627	30	4	9	Low-quality	Genome-fragment	27.21	HMM-based (lower-bound)	59.75	1.0	
TC25_k99_9947_fragment_2	21785	No	NA	25	6	0	Low-quality	Genome-fragment	34.7	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_163_length_145836_cov_18.374973_fragment_1	20502	No	NA	22	9	1	Low-quality	Genome-fragment	42.29	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_139_length_58879_cov_3.052168_fragment_1	7548	No	NA	10	3	0	Low-quality	Genome-fragment	9.93	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_4860_fragment_4	49220	Yes	39959	73	26	4	Medium-quality	Genome-fragment	84.68	HMM-based (lower-bound)	18.82	1.0	
TC9_NODE_238_length_65984_cov_2.939445_fragment_1	30856	No	NA	22	1	10	Low-quality	Genome-fragment	28.5	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_538_length_19541_cov_149.898836	19541	No	NA	30	10	1	Low-quality	Genome-fragment	29.77	HMM-based (lower-bound)	0.0	1.0	
TC24_NODE_1293_length_5013_cov_1.400941	5013	No	NA	8	5	0	Low-quality	Genome-fragment	8.31	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_114_length_142642_cov_2.681683_fragment_4	10411	No	NA	12	1	0	Low-quality	Genome-fragment	11.59	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_862_length_14042_cov_7.813079	14042	No	NA	19	1	2	Low-quality	Genome-fragment	21.01	HMM-based (lower-bound)	0.0	1.0	
TC39_NODE_396_length_29396_cov_1.438792	29396	Yes	25485	48	9	6	Low-quality	Genome-fragment	38.27	HMM-based (lower-bound)	13.3	1.0	
TC1_NODE_142_length_209220_cov_32.470360_fragment_1	19265	No	NA	25	10	0	Low-quality	Genome-fragment	27.09	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_142_length_209220_cov_32.470360_fragment_6	16285	No	NA	15	1	2	Low-quality	Genome-fragment	14.46	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_142_length_209220_cov_32.470360_fragment_5	6523	No	NA	9	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC18_NODE_143_length_13917_cov_1.424728	13917	No	NA	15	4	0	Low-quality	Genome-fragment	22.3	HMM-based (lower-bound)	0.0	1.0	
TC20_NODE_13_length_845650_cov_3.550050_fragment_7	31330	No	NA	45	18	0	Low-quality	Genome-fragment	42.29	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_750_length_16849_cov_0.986963	16849	No	NA	23	13	0	Low-quality	Genome-fragment	23.83	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_711_length_18131_cov_3.099145	18131	No	NA	24	8	0	Low-quality	Genome-fragment	28.43	HMM-based (lower-bound)	0.0	1.0	
TC20_NODE_139_length_12529_cov_1.085551	12529	No	NA	16	6	0	Low-quality	Genome-fragment	16.44	HMM-based (lower-bound)	0.0	1.0	
TC5_NODE_5_length_1406465_cov_12.571004_fragment_6	12739	No	NA	13	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC5_NODE_5_length_1406465_cov_12.571004_fragment_19	47353	No	NA	72	29	0	Medium-quality	Genome-fragment	51.42	HMM-based (lower-bound)	0.0	1.0	
TC5_NODE_5_length_1406465_cov_12.571004_fragment_11	34882	No	NA	42	18	1	Low-quality	Genome-fragment	48.45	HMM-based (lower-bound)	0.0	1.0	
TC17_NODE_171_length_23030_cov_3.826224	23030	No	NA	24	1	1	Low-quality	Genome-fragment	32.79	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_5090_fragment_10	6213	No	NA	9	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC42_NODE_7_length_1598515_cov_3.556382_fragment_7	12202	No	NA	11	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC25_k99_9448_fragment_1	41709	Yes	35903	57	24	3	Medium-quality	Genome-fragment	72.65	HMM-based (lower-bound)	13.92	1.0	
TC25_k99_1821	9859	No	NA	17	6	1	Low-quality	Genome-fragment	13.4	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_10_length_516360_cov_3.910192_fragment_2	88745	Yes	87235	122	39	3	High-quality	High-quality	98.52	HMM-based (lower-bound)	1.7	1.0	
TC37_NODE_6_length_771741_cov_38.645067_fragment_9	10792	No	NA	15	4	0	Low-quality	Genome-fragment	18.38	HMM-based (lower-bound)	0.0	1.0	
TC37_NODE_6_length_771741_cov_38.645067_fragment_4	9747	No	NA	12	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC37_NODE_6_length_771741_cov_38.645067_fragment_1	29453	No	NA	16	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC19_k99_33276_fragment_2	13914	No	NA	15	12	0	Low-quality	Genome-fragment	25.26	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_33276_fragment_3	17408	No	NA	20	3	2	Low-quality	Genome-fragment	28.13	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_681_length_6587_cov_6.445666	6587	Yes	1740	9	1	2	Low-quality	Genome-fragment	0.94	HMM-based (lower-bound)	73.58	1.0	
TC19_k99_14676	7974	No	NA	11	6	0	Low-quality	Genome-fragment	12.4	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_134_length_224039_cov_57.671326_fragment_1	118312	Yes	91832	135	21	14	Complete	High-quality	100.0	Provirus (high-confidence)	22.38	1.0	
TC6_NODE_28_length_291559_cov_501.229687_fragment_1	14000	No	NA	20	1	3	Low-quality	Genome-fragment	16.1	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_24071	53693	Yes	48429	69	13	3	Medium-quality	Genome-fragment	75.18	HMM-based (lower-bound)	9.8	1.0	
TC2_NODE_65_length_339340_cov_62.307927_fragment_2	45353	No	NA	56	14	1	Medium-quality	Genome-fragment	68.13	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_87_length_201352_cov_4.769517_fragment_1	72369	No	NA	98	21	8	High-quality	High-quality	93.83	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_5_length_742238_cov_32.052233_fragment_3	21592	Yes	10271	27	2	9	Low-quality	Genome-fragment	11.7	HMM-based (lower-bound)	52.43	1.0	
TC38_NODE_587_length_6311_cov_1.037678	6311	No	NA	8	6	1	Low-quality	Genome-fragment	11.55	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_67_length_161723_cov_7.924317_fragment_1	11535	No	NA	12	5	0	Low-quality	Genome-fragment	23.33	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_28_length_626913_cov_6.440319_fragment_4	56063	Yes	45758	76	15	6	Medium-quality	Genome-fragment	70.77	HMM-based (lower-bound)	18.38	1.0	low-confidence Provirus
TC29_NODE_28_length_626913_cov_6.440319_fragment_3	5289	No	NA	8	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_71_length_348880_cov_7.195720_fragment_2	36331	No	NA	52	10	1	Low-quality	Genome-fragment	49.3	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_10_length_786305_cov_10.390390_fragment_2	24140	No	NA	24	4	2	Low-quality	Genome-fragment	32.12	HMM-based (lower-bound)	0.0	1.0	
TC6_NODE_10_length_786305_cov_10.390390_fragment_1	15747	No	NA	12	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC17_NODE_167_length_23144_cov_246.231307	23144	No	NA	25	1	2	Low-quality	Genome-fragment	11.22	HMM-based (lower-bound)	0.0	1.0	low-confidence ITR
TC19_k99_15742	14360	No	NA	16	1	1	Low-quality	Genome-fragment	21.48	HMM-based (lower-bound)	0.0	1.0	
TC1_NODE_59_length_475188_cov_8.064007_fragment_6	53404	Yes	40847	66	12	3	Medium-quality	Genome-fragment	70.93	HMM-based (lower-bound)	23.51	1.0	
TC1_NODE_59_length_475188_cov_8.064007_fragment_2	31853	No	NA	21	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC29_NODE_76_length_342196_cov_18.142620_fragment_2	41709	Yes	35903	57	24	3	Medium-quality	Genome-fragment	72.65	HMM-based (lower-bound)	13.92	1.0	
TC19_k99_35266_fragment_10	28054	No	NA	24	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC19_k99_35266_fragment_2	20989	No	NA	18	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC39_NODE_3_length_960438_cov_15.498144_fragment_14	37543	No	NA	58	18	0	Medium-quality	Genome-fragment	52.05	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_452_length_34432_cov_18.148200_fragment_1	20131	No	NA	33	15	0	Low-quality	Genome-fragment	36.83	HMM-based (lower-bound)	0.0	1.0	
TC23_NODE_11_length_907578_cov_93.829391_fragment_3	42678	Yes	36469	68	19	5	Medium-quality	Genome-fragment	70.56	HMM-based (lower-bound)	14.55	1.0	
TC23_NODE_11_length_907578_cov_93.829391_fragment_2	6248	No	NA	12	1	1	Low-quality	Genome-fragment	3.39	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_99_length_39050_cov_15.381779_fragment_1	9703	No	NA	13	6	0	Low-quality	Genome-fragment	10.05	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_5_length_1823148_cov_2.889292_fragment_5	46529	Yes	39082	53	6	2	Medium-quality	Genome-fragment	71.92	HMM-based (lower-bound)	16.01	1.0	
TC22_k99_10235_fragment_1	10381	No	NA	12	1	0	Low-quality	Genome-fragment	11.56	HMM-based (lower-bound)	0.0	1.0	
TC42_NODE_307_length_37584_cov_1.163387	37584	No	NA	68	15	1	Medium-quality	Genome-fragment	66.89	HMM-based (lower-bound)	0.0	1.0	
TC15_NODE_1018_length_11076_cov_55.996347	11076	No	NA	11	1	0	Low-quality	Genome-fragment	7.45	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_50_length_396606_cov_1.837843_fragment_5	44653	No	NA	74	16	0	Medium-quality	Genome-fragment	55.93	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_50_length_396606_cov_1.837843_fragment_6	30164	No	NA	52	7	1	Low-quality	Genome-fragment	24.14	HMM-based (lower-bound)	0.0	1.0	
TC38_NODE_54_length_102780_cov_15.580051_fragment_1	45380	Yes	42336	55	25	3	Medium-quality	Genome-fragment	84.39	HMM-based (lower-bound)	6.71	1.0	
TC44_NODE_458_length_15300_cov_1.272589	15300	No	NA	22	10	0	Low-quality	Genome-fragment	23.91	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_191_length_58548_cov_1.815255	58548	No	NA	63	22	1	Medium-quality	Genome-fragment	81.64	HMM-based (lower-bound)	0.0	1.0	
TC7_NODE_6_length_676774_cov_6.395213_fragment_6	65021	Yes	57392	91	38	5	High-quality	High-quality	90.83	HMM-based (lower-bound)	11.73	1.0	
TC39_NODE_52_length_196619_cov_8.159034_fragment_1	46052	Yes	39504	60	16	2	Medium-quality	Genome-fragment	61.32	HMM-based (lower-bound)	14.22	1.0	
TC31_NODE_1903_length_5331_cov_1.014604	5331	No	NA	7	1	0	Low-quality	Genome-fragment	4.92	HMM-based (lower-bound)	0.0	1.0	
TC11_NODE_147_length_121833_cov_2.735863_fragment_1	26450	Yes	21926	27	9	4	Low-quality	Genome-fragment	40.58	HMM-based (lower-bound)	17.1	1.0	
TC42_NODE_90_length_156180_cov_1.716622_fragment_1	13431	No	NA	18	9	0	Low-quality	Genome-fragment	23.94	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_9_length_1201113_cov_15.041872_fragment_19	10421	No	NA	16	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC9_NODE_9_length_1201113_cov_15.041872_fragment_24	24778	No	NA	32	1	5	Low-quality	Genome-fragment	19.46	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_9_length_1201113_cov_15.041872_fragment_1	23535	No	NA	15	1	1	Low-quality	Genome-fragment	32.94	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_450_length_17582_cov_5.828874	17582	No	NA	23	7	0	Low-quality	Genome-fragment	23.96	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_1090_length_7212_cov_1.272971	7212	No	NA	9	5	0	Low-quality	Genome-fragment	15.17	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_1302_length_7207_cov_1.116384	7207	No	NA	8	4	0	Low-quality	Genome-fragment	15.18	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_7844_fragment_4	18752	Yes	8586	20	3	5	Low-quality	Genome-fragment	11.56	HMM-based (lower-bound)	54.21	1.0	
TC32_NODE_441_length_9483_cov_7.642262	9483	No	NA	13	6	0	Low-quality	Genome-fragment	12.19	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_42_length_439594_cov_6.338911_fragment_1	35871	Yes	27517	34	7	3	Medium-quality	Genome-fragment	53.49	HMM-based (lower-bound)	23.29	1.0	
TC29_NODE_42_length_439594_cov_6.338911_fragment_5	38351	No	NA	58	0	16	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC1_NODE_341_length_40417_cov_176.687640	40417	No	NA	52	23	1	Medium-quality	Genome-fragment	84.95	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_112_length_196170_cov_3.920839_fragment_2	51878	Yes	36217	58	18	5	Medium-quality	Genome-fragment	58.74	HMM-based (lower-bound)	30.19	1.0	low-confidence Provirus
TC2_NODE_33_length_512050_cov_27.166554_fragment_1	24831	No	NA	27	7	1	Low-quality	Genome-fragment	39.94	HMM-based (lower-bound)	0.0	1.0	
TC2_NODE_33_length_512050_cov_27.166554_fragment_3	32048	No	NA	26	1	10	Low-quality	Genome-fragment	17.38	HMM-based (lower-bound)	0.0	1.0	
TC20_NODE_8_length_1091970_cov_6.985938_fragment_4	45654	No	NA	74	15	3	Medium-quality	Genome-fragment	68.56	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_127_length_104960_cov_2.160732_fragment_1	63350	Yes	44247	82	27	10	Medium-quality	Genome-fragment	62.15	HMM-based (lower-bound)	30.15	1.0	
TC19_k99_19647	5810	No	NA	6	3	0	Low-quality	Genome-fragment	11.49	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_5787	8631	No	NA	14	5	0	Low-quality	Genome-fragment	12.34	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_461_length_15802_cov_2.432217	15802	No	NA	16	9	0	Low-quality	Genome-fragment	27.09	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_117_length_135596_cov_13.031535_fragment_1	38663	No	NA	56	19	1	Medium-quality	Genome-fragment	69.87	HMM-based (lower-bound)	0.0	1.01	
TC16_NODE_244_length_7509_cov_65.745462	7509	No	NA	8	1	1	Low-quality	Genome-fragment	9.42	HMM-based (lower-bound)	0.0	1.0	
TC18_NODE_91_length_37957_cov_1.264684	37957	No	NA	63	25	1	Low-quality	Genome-fragment	48.2	HMM-based (lower-bound)	0.0	1.0	
TC22_k99_941	18865	No	NA	35	6	0	Low-quality	Genome-fragment	39.69	HMM-based (lower-bound)	0.0	1.0	
TC32_NODE_86_length_282059_cov_25.867876_fragment_1	15984	Yes	8543	23	2	3	Medium-quality	Genome-fragment	83.23	HMM-based (lower-bound)	46.55	1.0	
TC32_NODE_86_length_282059_cov_25.867876_fragment_2	17690	No	NA	22	2	4	Low-quality	Genome-fragment	24.86	HMM-based (lower-bound)	0.0	1.0	
TC33_NODE_27_length_378717_cov_2.184374_fragment_1	34161	No	NA	43	9	4	Low-quality	Genome-fragment	48.72	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_4487_fragment_1	59093	No	NA	86	27	2	Medium-quality	Genome-fragment	86.47	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_28466_fragment_9	21504	No	NA	26	9	2	Low-quality	Genome-fragment	28.12	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_28466_fragment_2	39654	No	NA	52	19	0	Medium-quality	Genome-fragment	54.85	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_22_length_662371_cov_71.591452_fragment_7	40886	No	NA	55	19	0	Medium-quality	Genome-fragment	74.86	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_91_length_137763_cov_3.812164_fragment_2	52178	No	NA	52	17	2	Medium-quality	Genome-fragment	74.87	HMM-based (lower-bound)	0.0	1.0	
TC36_NODE_337_length_20396_cov_2.484385	20396	No	NA	32	19	0	Low-quality	Genome-fragment	45.51	HMM-based (lower-bound)	0.0	1.0	
TC40_NODE_13_length_266733_cov_123.783174_fragment_1	11778	No	NA	10	5	0	Low-quality	Genome-fragment	23.43	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_9628	21589	No	NA	24	14	0	Low-quality	Genome-fragment	37.36	HMM-based (lower-bound)	0.0	1.0	
TC29_NODE_977_length_9483_cov_18.388521	9483	No	NA	13	6	0	Low-quality	Genome-fragment	12.19	HMM-based (lower-bound)	0.0	1.0	
TC47_NODE_170_length_30331_cov_5.068269	30331	No	NA	50	13	0	Low-quality	Genome-fragment	46.97	HMM-based (lower-bound)	0.0	1.0	
TC18_NODE_111_length_23602_cov_12.434164	23602	No	NA	35	9	1	Low-quality	Genome-fragment	37.07	HMM-based (lower-bound)	0.0	1.0	
TC23_NODE_43_length_306671_cov_19.683448_fragment_1	15224	No	NA	15	10	0	Low-quality	Genome-fragment	25.2	HMM-based (lower-bound)	0.0	1.0	
TC43_NODE_16_length_550297_cov_19.799362_fragment_2	41419	No	NA	58	18	1	Medium-quality	Genome-fragment	60.27	HMM-based (lower-bound)	0.0	1.0	
TC20_NODE_35_length_234509_cov_32.817507_fragment_3	42408	No	NA	59	13	0	Medium-quality	Genome-fragment	57.76	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_3_length_2613225_cov_18.249420_fragment_14	52429	Yes	46273	76	19	4	Medium-quality	Genome-fragment	56.63	HMM-based (lower-bound)	11.74	1.0	
TC44_NODE_3_length_2613225_cov_18.249420_fragment_7	15889	No	NA	12	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC24_NODE_10_length_881981_cov_5.334318_fragment_3	51570	No	NA	67	6	5	Medium-quality	Genome-fragment	71.52	HMM-based (lower-bound)	0.0	1.01	
TC23_NODE_20_length_537434_cov_20.219629_fragment_2	12005	No	NA	17	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.02	no viral genes detected
TC16_NODE_49_length_134977_cov_80.203278_fragment_1	24566	No	NA	38	17	0	Medium-quality	Genome-fragment	51.88	HMM-based (lower-bound)	0.0	1.0	
TC19_k99_20484	14212	Yes	10132	20	6	3	Low-quality	Genome-fragment	7.81	HMM-based (lower-bound)	28.71	1.0	
TC6_NODE_154_length_25958_cov_34.872672	25958	No	NA	28	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.06	no viral genes detected
TC22_k99_18216_fragment_1	9698	Yes	4646	10	5	3	Low-quality	Genome-fragment	5.33	HMM-based (lower-bound)	52.09	1.0	
TC35_NODE_43_length_82804_cov_135.385911_fragment_1	22792	No	NA	24	5	1	Low-quality	Genome-fragment	22.15	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_14_length_415217_cov_19.321309_fragment_3	40042	No	NA	53	11	0	Medium-quality	Genome-fragment	69.33	HMM-based (lower-bound)	0.0	1.0	
TC44_NODE_11_length_806169_cov_2.790758_fragment_4	37037	No	NA	51	11	1	Medium-quality	Genome-fragment	53.99	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_7_length_1394600_cov_14.790398_fragment_15	16659	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC9_NODE_7_length_1394600_cov_14.790398_fragment_31	6915	No	NA	9	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC9_NODE_7_length_1394600_cov_14.790398_fragment_1	14341	No	NA	11	2	1	Low-quality	Genome-fragment	17.86	HMM-based (lower-bound)	0.0	1.0	
TC9_NODE_7_length_1394600_cov_14.790398_fragment_14	48976	Yes	35450	46	5	8	Medium-quality	Genome-fragment	54.42	HMM-based (lower-bound)	27.62	1.0	low-confidence Provirus
TC29_NODE_236_length_94821_cov_12.473346_fragment_1	46617	Yes	44669	71	21	2	Medium-quality	Genome-fragment	59.0	HMM-based (lower-bound)	4.18	1.0	
TC5_NODE_221_length_20238_cov_1.942121	20238	Yes	15298	25	5	2	Low-quality	Genome-fragment	20.0	HMM-based (lower-bound)	24.41	1.0	
TC14_NODE_461_length_22082_cov_1.191710	22082	No	NA	29	13	0	Low-quality	Genome-fragment	32.94	HMM-based (lower-bound)	0.0	1.0	
TC21_NODE_1286_length_6344_cov_3.375744	6344	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC32_NODE_218_length_71311_cov_12.605136_fragment_1	9677	No	NA	9	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TC32_NODE_218_length_71311_cov_12.605136_fragment_3	12609	No	NA	12	2	1	Low-quality	Genome-fragment	9.6	HMM-based (lower-bound)	0.0	1.0	
TC16_NODE_7_length_485387_cov_18.967422_fragment_1	15532	No	NA	28	4	0	Low-quality	Genome-fragment	19.54	HMM-based (lower-bound)	0.0	1.0	
TC25_k99_10547_fragment_1	50881	Yes	45674	70	15	3	Medium-quality	Genome-fragment	70.64	HMM-based (lower-bound)	10.23	1.0	
TC25_k99_8030	23245	No	NA	29	13	0	Low-quality	Genome-fragment	29.89	HMM-based (lower-bound)	0.0	1.0	
